index,age_yr,age_class,ppt_mm,GSppt_mm,GSinvkT,AinvkT,GSinvBoltzT,AinvBoltzT,lgs_mo,biomass_gm2,anpp_gm2y,ln_biomass,ln_npp,alpha,npp_gs,ln_npp_gs,npp_M,ln_npp_M,npp_gs_M,ln_npp_gs_M,T_gs,T_ma
153,25,0-40,1232,1232,40.22635059,40.22635059,40.2531008,40.2531008,12,7924,954,8.977651408,6.860663671,0.995,79.5,4.375757022,0.125921135,-2.072099479,0.010493428,-4.557006129,15.34166667,15.34166667
154,25,0-40,1174.1,1174.1,40.4412961,40.4412961,40.46051553,40.46051553,12,18739,2346,9.838362193,7.760467029,0.995,195.5,5.275560379,0.131505927,-2.028703352,0.010958827,-4.513610002,13.80833333,13.80833333
155,25,0-40,572.3,459.6,39.86180375,41.88510681,39.86737227,41.99287039,5,12731,1643,9.451795243,7.404279118,0.995,328.6,5.794841206,0.135300486,-2.000257149,0.027060097,-3.609695061,17.98,3.916666667
156,25,0-40,205.6,149.7,40.26805883,41.77328587,40.28478434,41.87182377,7,4646,532,8.443761913,6.276643489,0.995,76,4.33073334,0.119444958,-2.124899614,0.017063565,-4.070809763,15.04285714,4.658333333
157,25,0-40,1862.6,1862.6,40.02517837,40.02517837,40.04942379,40.04942379,12,14878,2258,9.607638891,7.722234745,0.995,188.1666667,5.237328095,0.15923631,-1.837365952,0.013269693,-4.322272601,16.79166667,16.79166667
158,25,0-40,1842.5,1842.5,39.28116978,39.28116978,39.29219514,39.29219514,12,19001,2251,9.852246888,7.719129841,0.995,187.5833333,5.234223191,0.124449432,-2.083855813,0.010370786,-4.568762463,22.28333333,22.28333333
159,25,0-40,1600.7,1600.7,39.5680077,39.5680077,39.58889552,39.58889552,12,15202,1823,9.629182277,7.508238775,0.995,151.9166667,5.023332125,0.125833259,-2.072797591,0.010486105,-4.557704241,20.14166667,20.14166667
160,25,0-40,1179.8,1179.8,39.62430022,39.62430022,39.63849707,39.63849707,12,13874,1703,9.537771864,7.440146681,0.995,141.9166667,4.955240031,0.128743101,-2.049936324,0.010728592,-4.534842974,19.725,19.725
161,25,0-40,1356.7,1356.7,40.03783656,40.03783656,40.06122375,40.06122375,12,9667,1205,9.176473302,7.094234846,0.995,100.4166667,4.609328196,0.130503388,-2.03635609,0.010875282,-4.52126274,16.7,16.7
162,25,0-40,1401,1401,40.15327925,40.15327925,40.17894349,40.17894349,12,26020,2898,10.16662075,7.971776123,0.995,241.5,5.486869473,0.117183813,-2.144011525,0.009765318,-4.628918175,15.86666667,15.86666667
163,25,0-40,1292.7,1292.7,40.19964295,40.19964295,40.22179325,40.22179325,12,13725,1520,9.526974266,7.326465614,0.995,126.6666667,4.841558964,0.116149888,-2.152873781,0.009679157,-4.637780431,15.53333333,15.53333333
164,25,0-40,1151.8,1120.1,40.29311623,40.43190289,40.3157608,40.45812593,11,10853,1237,9.292196818,7.120444372,0.995,112.4545455,4.7225491,0.119398163,-2.125291462,0.010854378,-4.523186735,14.86363636,13.875
165,25,0-40,1290.3,1256.9,40.33003276,40.46597405,40.35108171,40.49050344,11,16080,1971,9.685331543,7.586296307,0.995,179.1818182,5.188401034,0.128656582,-2.050608578,0.011696053,-4.448503851,14.6,13.63333333
166,25,0-40,1179.1,1179.1,39.62430022,39.62430022,39.6392104,39.6392104,12,13898,1700,9.539500224,7.43838353,0.995,141.6666667,4.95347688,0.128295486,-2.053419193,0.01069129,-4.538325842,19.725,19.725
167,25,0-40,1296,1296,39.95971395,39.95971395,39.98042398,39.98042398,12,13780,1540,9.530973545,7.339537695,0.995,128.3333333,4.854631046,0.117210832,-2.143780981,0.009767569,-4.628687631,17.26666667,17.26666667
168,25,0-40,965.1,950.1,40.53507552,40.83859329,40.54059585,40.84978248,9,18379,2134,9.818963987,7.665753432,0.995,237.1111111,5.468528855,0.121953466,-2.104115736,0.013550385,-4.301340313,13.14444444,11.01666667
169,25,0-40,1015.5,1015.5,40.23797368,40.23797368,40.2479069,40.2479069,12,10473,1046,9.256555796,6.952728645,0.995,87.16666667,4.467821995,0.104607046,-2.257544372,0.008717254,-4.742451022,15.25833333,15.25833333
170,25,0-40,975.9,921.5,40.66132106,40.95750216,40.66690836,40.96834494,9,12029,1199,9.39507568,7.089243155,0.995,133.2222222,4.892018578,0.10446981,-2.258857147,0.011607757,-4.456081724,12.25555556,10.19166667
171,25,0-40,96.9,96.9,40.10933269,40.10933269,40.1380841,40.1380841,12,19801,2287,9.89348772,7.734996194,0.995,190.5833333,5.250089544,0.121356342,-2.109024088,0.010113028,-4.593930738,16.18333333,16.18333333
