"Taxa footnotes, ""[a]"", are found in Column C.",Literature or other reference., Footnotes from respective pages of Cannell (1982).,Original table order for sorting purposes.,years,log10 years,m,log10 m,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 34,,71,7,0.845098,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 34,,72,7,0.845098,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.150914163,-0.82127,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 34,,73,10,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.109169168,-0.9619,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 34,,74,13,1.113943,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 34,,75,17,1.230449,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 35,,76,18,1.255273,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 35,,77,20,1.30103,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.088444331,-1.05333,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 35,,78,25,1.39794,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.244754114,-0.61127,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 35,,79,29,1.462398,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 35,,80,37,1.568202,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
